"target_nospace","aIgvsPBS_DAUDI_log2FC","aIgvsPBS_DAUDI_padj","aIgvsPBS_DAUDI_log10padj","aIgvsPBS_DAUDI_DE","shared name","in_panel","in_network","target","modification","marker_path","H2O2vsPBS_HBL1_log2FC","H2O2vsPBS_HBL1_padj","H2O2vsPBS_HBL1_log10padj","H2O2vsPBS_HBL1_DE"
"MEK1_2_S218_S222",0,0.051,,,"MEK1/2","yes","yes","MEK1/2 (S218/S222)","phospho","ERK_signaling",0,0.051,,
"MKK4_S257_T261",0,0.051,,,"MKK4","yes","yes","MKK4 (S257/T261)","phospho","MAPK-JNK_signaling",0.403876661339908,0.000740195402917155,3.13065361647667,"UP"
"MKK7_S271_T275",0,0.051,,,"MKK7","yes","yes","MKK7 (S271/T275)","phospho","MAPK-JNK_signaling",0,0.051,,
"mTOR_S2448",0,0.051,,,"mTOR","yes","yes","mTOR (S2448)","phospho","PI3K-Akt_signaling",0,0.051,,
"NFkB_p50",0,0.051,,,"NFkB p50","yes","yes","NFkB p50","no","NFkB_signaling",0,0.051,,
"NFkB_p65_S536",0,0.051,,,"NFkB p65","yes","yes","NFkB p65 (RelA) (S536)","phospho","NFkB_signaling",0,0.051,,
"MAPK_p38_T180_Y182",0,0.051,,,"p38","yes","yes","MAPK p38 (T180/Y182)","phospho","MAPK-JNK_signaling",0.317613725391595,0.000159121001895499,3.7982724953668,"UP"
"PFKFB3_S461",0,0.051,,,"PFKFB3","yes","yes","PFKFB3 (S461)","phospho","metabolism",0,0.051,,
"PI3K_p110d",0,0.051,,,"PI3K p110d","yes","yes","PI3K p110d (PIK3CD)","no","PI3K-Akt_signaling",-0.51862920796171,0.00162846161269376,2.78822247449043,"DOWN"
"PKCb1_T642",0,0.051,,,"PKCb1","yes","yes","PKC-b1 (T642)","phospho","NFkB_signaling",-0.27125467907945,0.000212060574424893,3.6735400665201,"DOWN"
"PLCy2_Y759",0,0.051,,,"PLCy2","yes","yes","PLCy2 (Y759)","phospho","PLCy2_signaling",0,0.051,,
"SHP1",0,0.051,,,"SHP1","yes","yes","SHP-1","no","BCR_upstream",0,0.051,,
"SHP2_Y580",0,0.051,,,"SHP2","yes","yes","SHP-2 (Y580)","phospho","BCR_upstream",0.668895249444867,2.42756361326413e-06,5.61482938077007,"UP"
"STAT1_Y701",0,0.051,,,"STAT1","yes","yes","STAT1 (Y701)","phospho","JAK-STAT_signaling",0,0.051,,
"STAT3_S727",0,0.051,,,"STAT3","yes","yes","STAT3 (S727)","phospho","JAK-STAT_signaling",0,0.051,,
"STAT5a_Y694",0,0.051,,,"STAT5a","yes","yes","STAT5a (Y694)","phospho","JAK-STAT_signaling",0,0.051,,
"STAT6_Y641",0,0.051,,,"STAT6","yes","yes","STAT6 (Y641)","phospho","JAK-STAT_signaling",0,0.051,,
"SYK_Y525_Y526",0,0.051,,,"SYK","yes","yes","SYK (Y525/Y526)","phospho","BCR_upstream",0.486963847771997,3.92201306434519e-05,4.40649096401765,"UP"
